date,item_name,price,price_per_unit,store,ppu_unit,alt_name,category
2025-12-06,"Baking Powder, 8.1 oz",0.0,0.0,Aldi,oz,Baking Powder,Baking Goods
2025-12-06,"Balsamic Vinegar of Modena, 16.9 fl oz",0.0,0.0,Aldi,fl oz,Balsamic Vinegar,Oils/Vinegars
2025-12-06,"Carrots, 2 lb",0.0,0.0,Aldi,lb,Carrots,Fresh Produce
2025-12-06,"Deluxe Mixed Nuts with Sea Salt, 30 oz",0.0,N/A,Aldi,N/A,Nuts,Snacks
2025-12-06,"Fajita Flour Tortillas, 20 count",0.0,0.0,Aldi,oz,Tortillas,Grains
2025-12-06,"Flat Leaf Spinach, 8 oz",0.0,0.0,Aldi,oz,Spinach,Fresh Produce
2025-12-06,"Fresh Hass Avocados, Each",0.0,N/A,Walmart,N/A,Avocados,Fresh Produce
2025-12-06,"Fresh Whole Carrots, 1 lb Bag",1.32,0.083,Walmart,oz,Carrots,Fresh Produce
2025-12-06,"Fresh Whole Yellow Onion, Each",0.7,0.88,Walmart,lb,Onion,Fresh Produce
2025-12-06,"Great Value Diced Tomatoes in Tomato Juice, 14.5 oz Can",0.96,0.066,Walmart,oz,Diced Tomatoes,Sauces/Canned Goods
2025-12-06,"Great Value Frozen Mixed Vegetables, 12 oz Steamable Bag",0.98,0.082,Walmart,oz,Frozen Veggies,Frozen Goods
2025-12-06,"Great Value Garlic Powder, 3.4 oz",0.0,N/A,Walmart,N/A,Garlic Powder,Condiments/Spices
2025-12-06,"Great Value Original Sour Cream, 16 oz Tub",1.88,0.118,Walmart,oz,Sour Cream,Dairy
2025-12-06,"Great Value Pure Granulated Sugar, 4 lb",0.0,N/A,Walmart,N/A,Granulated Sugar,Baking Goods
2025-12-06,"Great Value Tomato Ketchup, 32 oz",1.97,0.062,Walmart,oz,Ketchup,Condiments/Spices
2025-12-06,"Great Value White Sandwich Bread, 20 oz",1.42,0.071,Walmart,oz,Sandwich Bread,Grains
2025-12-06,"Honey Smoked Turkey Breast & White Turkey, 1 lb",0.0,0.0,Aldi,oz,Turkey,Meat/Protein
2025-12-06,"Italian Bread Loaf, 16 oz",0.0,0.0,Aldi,oz,Sandwich Bread,Grains
2025-12-06,"Organic Garlic Powder, 2.5 oz",0.0,0.0,Aldi,oz,Garlic Powder,Condiments/Spices
2025-12-06,"Organic Ground Cumin, 1.5 oz",0.0,0.0,Aldi,oz,Cumin,Condiments/Spices
2025-12-06,"Quick Oats, 42 oz",0.0,0.0,Aldi,oz,Quick Oats,Snacks
2025-12-06,"Restaurant Style Tortilla Chips, 13 oz",0.0,0.0,Aldi,oz,Tortilla Chips,Snacks
2025-12-06,"Saltine Crackers, 16 oz",0.0,0.0,Aldi,oz,Crackers,Snacks
2025-12-06,"Strawberries, 1 lb",0.0,0.0,Aldi,lb,Strawberries,Fresh Produce
2025-12-06,"Tomato Ketchup, 38 oz",0.0,0.0,Aldi,oz,Ketchup,Condiments/Spices
2025-12-06,"Tomatoes On the Vine, 24 oz",0.0,0.0,Aldi,oz,Tomatoes,Fresh Produce
2025-12-06,"USDA Organic Black Beans, 15 oz Can",0.0,N/A,Aldi,N/A,Black Beans,Sauces/Canned Goods
